City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
91,Kyra,RU,78.06,overcast clouds,49.5776,111.9753,
94,Port Blair,IN,82.44,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
96,Jocotepec,MX,69.15,broken clouds,20.3,-103.4333,El Chante Spa Hotel
98,Georgetown,MY,87.89,few clouds,5.4112,100.3354,Cititel Penang
99,Kaseda,JP,81.63,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
100,Linhares,BR,67.17,light rain,-19.3911,-40.0722,Hotel Conceição
102,Hithadhoo,MV,83.34,few clouds,-0.6,73.0833,Scoop Guest House
103,Arraial Do Cabo,BR,71.78,few clouds,-22.9661,-42.0278,Pousada Porto Praia
104,Cayenne,GF,79.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
105,Derzhavinsk,KZ,70.12,overcast clouds,51.1,66.3167,Ooo.khim Baza
107,Hasaki,JP,79.09,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
108,Matara,LK,83.68,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
110,Mahebourg,MU,76.24,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
112,Jiuquan,CN,71.01,broken clouds,39.7432,98.5174,Jiuquan Hotel
114,Tautira,PF,80.62,clear sky,-17.7333,-149.15,Pension Oaoa
115,Wanning,CN,89.47,scattered clouds,18.8003,110.3967,Paradise Hotel
118,Novokayakent,RU,66.25,overcast clouds,42.3937,47.9861,"Baza Otdykha ""Svyazist"""
119,Belokurikha,RU,69.28,clear sky,51.9959,84.9896,Neo Hotel
120,Lagoa,PT,63.57,overcast clouds,39.05,-27.9833,Casa Das Faias
122,Hit,IQ,83.37,clear sky,33.6416,42.8251,صالون زيرو
123,Svobodnyy,RU,78.12,few clouds,51.4,128.1333,Alekseevskij Hotel
124,Melnik,CZ,61.77,overcast clouds,50.3505,14.4741,SPRING HOTEL - MĚLNÍK
125,Fare,PF,80.87,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
127,Solnechnyy,RU,69.22,scattered clouds,50.7214,136.6319,Hotel complex Pastoral
128,Broome,US,72.54,broken clouds,42.2506,-75.833,Chenango Valley State Park
129,Kununurra,AU,87.78,clear sky,-15.7667,128.7333,Hotel Kununurra
130,Dangriga,BZ,82.98,scattered clouds,16.9692,-88.2321,Chaleanor Hotel
131,Meulaboh,ID,83.07,overcast clouds,4.1363,96.1285,Kost Pria
132,Cape Town,ZA,66.61,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
133,Hobart,AU,64.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
134,Sumter,US,80.11,heavy intensity rain,28.7086,-82.0831,Paradise Oaks RV Resort
135,Abnub,EG,68.22,overcast clouds,27.2696,31.1511,Romany Adly Gad
136,Cherskiy,RU,71.29,overcast clouds,68.75,161.3,Gostinitsa
