City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
106,San Rafael Del Sur,11.8485,-86.4384,80.85,71,14,10.8,NI,2021-06-07 04:07:46
107,Balykshi,47.0667,51.8667,69.8,56,0,8.95,KZ,2021-06-07 04:07:47
108,Esperance,-33.8667,121.9,55.24,58,87,26.04,AU,2021-06-07 04:07:47
109,Tuatapere,-46.1333,167.6833,49.82,79,6,3.33,NZ,2021-06-07 04:07:47
110,Peniche,39.3558,-9.3811,60.89,86,0,15.5,PT,2021-06-07 04:07:48
111,Bundaberg,-24.85,152.35,68.72,66,66,11.72,AU,2021-06-07 04:07:48
112,Chukhloma,58.7525,42.6825,66.02,53,16,2.37,RU,2021-06-07 04:07:48
113,Cuiluan,47.72,128.648,77.74,36,18,0.98,CN,2021-06-07 04:07:49
114,Apache Junction,33.4151,-111.5496,92.01,7,20,9.24,US,2021-06-07 04:07:16
115,Georgetown,5.4112,100.3354,87.73,74,40,1.01,MY,2021-06-07 04:06:50
116,Mahebourg,-20.4081,57.7,74.25,78,63,18.45,MU,2021-06-07 04:04:13
117,Berlevag,70.8578,29.0864,42.8,65,1,3.42,NO,2021-06-07 04:07:50
118,Codrington,-38.2667,141.9667,65.46,47,100,25.41,AU,2021-06-07 04:07:50
119,Henties Bay,-22.116,14.2845,65.91,52,0,9.26,NA,2021-06-07 04:07:50
120,Nikolskoye,59.7035,30.7861,64.8,71,87,2.8,RU,2021-06-07 04:07:51
121,Xichang,27.8964,102.2634,67.1,90,100,1.63,CN,2021-06-07 04:07:51
122,Kuandian,40.7286,124.7847,74.34,48,63,2.3,CN,2021-06-07 04:07:51
123,Mount Isa,-20.7333,139.5,78.57,27,0,10.36,AU,2021-06-07 04:07:52
124,Port Alfred,-33.5906,26.891,62.11,36,0,8.59,ZA,2021-06-07 04:07:52
125,Turukhansk,65.8167,87.9833,38.32,60,85,10.33,RU,2021-06-07 04:07:52
126,Leeuwarden,53.2014,5.8086,55.98,93,12,3.44,NL,2021-06-07 04:07:53
127,Lebu,-37.6167,-73.65,47.43,82,98,7.61,CL,2021-06-07 04:07:53
128,Kaeo,-35.1,173.7833,62.33,95,100,12.03,NZ,2021-06-07 04:07:53
129,Sijunjung,-0.6876,100.9537,87.71,47,4,2.33,ID,2021-06-07 04:07:54
130,Gualan,15.1333,-89.3667,75.88,98,65,1.95,GT,2021-06-07 04:07:54
131,Touros,-5.1989,-35.4608,74.3,86,42,12.93,BR,2021-06-07 04:07:54
132,Lima,-12.0432,-77.0282,63.14,83,90,6.91,PE,2021-06-07 04:05:48
133,Show Low,34.2542,-110.0298,71.31,25,1,6.91,US,2021-06-07 04:07:55
134,Bredasdorp,-34.5322,20.0403,54.28,42,4,8.25,ZA,2021-06-07 04:07:55
135,Ribeira Grande,38.5167,-28.7,64.99,91,100,9.48,PT,2021-06-07 04:07:55
136,Lagoa,39.05,-27.9833,63.57,90,100,13.15,PT,2021-06-07 04:07:56
137,Sangar,63.9242,127.4739,45.46,88,100,3.0,RU,2021-06-07 04:07:56
138,Nadvoitsy,63.8667,34.3167,48.99,52,100,9.13,RU,2021-06-07 04:07:56
139,Arraial Do Cabo,-22.9661,-42.0278,71.78,87,20,6.71,BR,2021-06-07 04:07:57
140,Chatellerault,46.8,0.5333,54.55,53,94,3.47,FR,2021-06-07 04:07:57
141,Tuktoyaktuk,69.4541,-133.0374,37.67,73,22,12.17,CA,2021-06-07 04:07:58
142,Lithakia,37.7167,20.8333,72.07,82,0,0.0,GR,2021-06-07 04:07:58
143,Nukus,42.4531,59.6103,73.38,33,0,16.11,UZ,2021-06-07 04:07:58
144,Emerald,-23.5333,148.1667,75.34,33,0,5.91,AU,2021-06-07 04:07:59
145,Post Falls,47.718,-116.9516,52.77,46,75,2.86,US,2021-06-07 04:05:23
146,Bilibino,68.0546,166.4372,70.23,35,36,15.37,RU,2021-06-07 04:07:59
147,Shahr-E Babak,30.1165,55.1186,86.67,8,0,16.35,IR,2021-06-07 04:07:59
148,Zelenogradsk,54.9589,20.4767,55.45,100,75,6.76,RU,2021-06-07 04:08:00
149,Gazojak,41.1875,61.4036,89.71,21,1,20.76,TM,2021-06-07 04:08:00
150,Khatanga,71.9667,102.5,38.26,64,97,11.48,RU,2021-06-07 04:08:00
151,Saint George,37.1041,-113.5841,90.19,8,1,17.27,US,2021-06-07 04:06:47
152,Kamaishi,39.2667,141.8833,75.29,55,86,7.9,JP,2021-06-07 04:08:01
153,Kawalu,-7.3817,108.2082,85.14,61,75,4.38,ID,2021-06-07 04:08:01
154,Hobart,-42.8794,147.3294,64.26,49,75,8.99,AU,2021-06-07 04:08:02
155,Sundumbili,-29.1337,31.3975,53.47,82,0,6.73,ZA,2021-06-07 04:08:02
156,Avarua,-21.2078,-159.775,75.25,64,94,3.44,CK,2021-06-07 04:08:02
157,Ilulissat,69.2167,-51.1,37.42,81,0,0.0,GL,2021-06-07 04:08:03
158,Oistins,13.0667,-59.5333,80.69,65,40,20.71,BB,2021-06-07 04:08:03
159,Tikapur,28.5,81.1333,99.18,26,0,4.27,NP,2021-06-07 04:08:03
160,Muros,42.7762,-9.0603,54.1,88,74,7.92,ES,2021-06-07 04:08:04
161,Champerico,14.3,-91.9167,83.35,75,25,3.36,GT,2021-06-07 04:08:05
162,Cortez,37.3489,-108.5859,68.67,28,1,3.44,US,2021-06-07 04:08:05
163,Isangel,-19.55,169.2667,75.31,69,75,11.5,VU,2021-06-07 04:08:06
164,Moyale,3.5167,39.0584,64.49,83,98,10.22,KE,2021-06-07 04:08:06
165,Kaitangata,-46.2817,169.8464,54.93,79,0,8.5,NZ,2021-06-07 04:08:06
166,Norman Wells,65.282,-126.8329,40.44,97,100,1.77,CA,2021-06-07 04:08:07
167,Labuhan,-6.8844,112.2051,87.35,61,91,2.19,ID,2021-06-07 04:08:07
168,Celestun,20.8667,-90.4,85.64,61,100,14.56,MX,2021-06-07 04:08:07
169,Nador,35.174,-2.9287,64.65,88,0,4.03,MA,2021-06-07 04:08:08
170,Cidreira,-30.1811,-50.2056,62.29,78,91,13.02,BR,2021-06-07 04:08:08
171,Deputatskiy,69.3,139.9,50.4,42,88,14.43,RU,2021-06-07 04:08:08
172,Nemuro,43.3236,145.575,55.09,84,36,6.35,JP,2021-06-07 04:03:18
173,Istisu,40.9457,48.0738,57.87,85,56,3.36,AZ,2021-06-07 04:08:09
174,Esmeralda,21.8525,-78.1169,78.04,83,60,11.9,CU,2021-06-07 04:08:09
175,Fortuna,40.5982,-124.1573,55.33,82,20,8.05,US,2021-06-07 04:08:10
176,Oga,46.4631,10.347,49.24,94,100,2.93,IT,2021-06-07 04:08:10
177,North Bend,43.4065,-124.2243,55.92,84,90,6.91,US,2021-06-07 04:08:11
178,Houma,29.5958,-90.7195,75.99,94,75,9.22,US,2021-06-07 04:08:11
179,Russell,32.3502,-85.1999,74.91,88,75,3.56,US,2021-06-07 04:08:16
180,Miri,4.4148,114.0089,86.99,62,89,6.76,MY,2021-06-07 04:08:16
181,Saldanha,-33.0117,17.9442,66.27,38,2,27.07,ZA,2021-06-07 04:08:16
182,Tianpeng,30.9866,103.9393,77.63,48,100,5.21,CN,2021-06-07 04:08:17
183,Sabang,5.8933,95.3214,83.43,69,100,14.27,ID,2021-06-07 04:08:17
184,Kelamangalam,12.6,77.85,83.71,66,42,10.6,IN,2021-06-07 04:08:17
185,Taoudenni,22.6783,-3.9836,97.07,10,36,2.95,ML,2021-06-07 04:08:18
186,Alexandria,31.2156,29.9553,70.83,64,0,10.16,EG,2021-06-07 04:08:18
187,Dzhebariki-Khaya,62.2167,135.8,83.01,36,99,16.55,RU,2021-06-07 04:08:18
188,Samarai,-10.6167,150.6667,77.02,92,100,13.78,PG,2021-06-07 04:08:19
189,Razole,16.4833,81.8333,89.89,50,48,7.43,IN,2021-06-07 04:08:19
190,Matagami,49.7502,-77.6328,69.53,84,90,12.28,CA,2021-06-07 04:08:19
191,Nome,64.5011,-165.4064,36.16,83,84,7.11,US,2021-06-07 04:04:56
192,Dobryatino,55.5055,41.3195,58.98,87,84,4.85,RU,2021-06-07 04:08:20
193,Paita,-5.0892,-81.1144,68.31,81,99,10.65,PE,2021-06-07 04:08:20
194,Kahului,20.8947,-156.47,79.86,79,27,15.99,US,2021-06-07 04:04:52
195,Lata,40.1629,-8.3327,58.93,94,7,1.25,PT,2021-06-07 04:08:21
196,Castro,-24.7911,-50.0119,57.02,92,100,6.26,BR,2021-06-07 04:08:21
197,Aykhal,66.0,111.5,38.66,84,76,33.24,RU,2021-06-07 04:08:21
198,Vila Franca Do Campo,37.7167,-25.4333,63.01,89,99,3.47,PT,2021-06-07 04:08:22
