City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Neuquen,AR,-38.9516,-68.0591,46.29,71,0,0.0,clear sky
140,Apricena,IT,41.7839,15.4437,64.22,89,92,3.29,light rain
141,Matay,EG,28.419,30.7792,67.24,61,4,12.37,clear sky
142,Khatanga,RU,71.9667,102.5,38.26,64,97,11.48,overcast clouds
143,Amuntai,ID,-2.4177,115.2494,91.94,52,60,1.34,broken clouds
144,Cururupu,BR,-1.8283,-44.8683,73.29,96,49,2.77,scattered clouds
145,Pala,TD,9.3642,14.9046,75.13,75,90,2.82,overcast clouds
146,Victoria,HK,22.2855,114.1577,89.65,81,59,5.01,broken clouds
147,Vero Beach,US,27.6386,-80.3973,81.0,84,1,5.99,clear sky
148,Kijang,KR,35.2442,129.2139,78.53,54,0,11.74,clear sky
149,Anzio,IT,41.4853,12.6179,62.44,99,97,5.99,overcast clouds
150,Salalah,OM,17.0151,54.0924,84.29,89,75,6.91,broken clouds
151,Qaanaaq,GL,77.484,-69.3632,38.55,73,40,6.17,scattered clouds
152,Rawson,AR,-43.3002,-65.1023,47.01,59,48,16.06,scattered clouds
153,Hambantota,LK,6.1241,81.1185,85.37,68,98,16.67,overcast clouds
154,Ugoofaaru,MV,5.6667,73.0,82.54,76,100,17.11,overcast clouds
155,Grand Gaube,MU,-20.0064,57.6608,76.37,78,14,3.0,few clouds
156,Tilichiki,RU,60.4667,166.1,39.33,90,100,3.18,overcast clouds
157,Fereydunshahr,IR,32.941,50.121,66.33,17,0,4.7,clear sky
158,Kodiak,US,57.79,-152.4072,63.91,34,1,9.22,clear sky
159,Sao Filipe,CV,14.8961,-24.4956,73.24,77,9,10.85,clear sky
160,Klaksvik,FO,62.2266,-6.589,49.12,92,100,4.41,overcast clouds
161,Padang,ID,-0.9492,100.3543,84.25,61,9,4.88,clear sky
162,Atar,MR,20.5169,-13.0499,88.18,17,6,14.97,clear sky
163,Olafsvik,IS,64.8945,-23.7142,46.69,87,99,2.71,overcast clouds
164,Karimganj,IN,24.8667,92.35,85.77,72,77,3.36,broken clouds
165,Namatanai,PG,-3.6667,152.4333,83.75,69,71,4.9,light rain
166,Iqaluit,CA,63.7506,-68.5145,31.73,93,90,3.0,overcast clouds
167,Sfantu Gheorghe,RO,45.8667,25.7833,56.26,87,14,1.12,few clouds
168,Champaign,US,40.1334,-88.2001,74.21,80,1,4.0,clear sky
169,Saint-Philippe,RE,-21.3585,55.7679,71.15,83,97,17.4,light rain
170,Kalmunai,LK,7.4167,81.8167,86.13,64,97,1.32,overcast clouds
171,Alta Gracia,AR,-31.6529,-64.4283,44.89,64,96,3.29,overcast clouds
172,At-Bashi,KG,41.1702,75.8106,62.33,55,76,2.71,broken clouds
173,Faanui,PF,-16.4833,-151.75,81.28,76,31,11.07,scattered clouds
174,Atuona,PF,-9.8,-139.0333,80.22,66,6,10.98,clear sky
175,Husavik,IS,66.0449,-17.3389,44.51,72,33,9.24,scattered clouds
